county_name,population,prison_population
Abbeville County,1505784,10557
Acadia Parish,1010534,6930
Accomack County,1715198,13130
Adair County,3809146,13552
Adams County,38347754,196608
Aiken County,9051661,57776
Aitkin County,625595,1904
Alachua County,12079290,90540
Alamance County,6757533,48174
Alameda County,92174081,389794
Alamosa County,870638,5020
Albany County,17272339,117255
Albemarle County,4067159,14840
Alcona County,516824,2082
Alcorn County,1735112,9113
Alexander County,1831164,8983
Alexandria city,7741751,37553
Alfalfa County,296052,1308
Alger County,556523,1394
Allamakee County,390769,531
Allegan County,6097452,25444
Allegany County,6766911,17613
Alleghany County,1112698,6059
Allegheny County,80418854,339708
Allen County,15386444,100313
Allen Parish,386218,1735
Allendale County,512915,4422
Alpena County,1766833,5462
Alpine County,24259,16
Amador County,1886795,11042
Amelia County,475762,2872
Amherst County,1667822,8623
Amite County,423285,2492
Anderson County,19034956,127647
Andrew County,780242,2521
Andrews County,620213,6429
Androscoggin County,2567761,6723
Angelina County,3842212,45127
Anne Arundel County,32175724,87422
Anoka County,16291575,22548
Anson County,1120720,8853
Antelope County,300545,712
Antrim County,1064728,6136
Apache County,2095628,5546
Appanoose County,325955,1128
Appling County,874180,5963
Appomattox County,632966,2904
Aransas County,1035404,12808
Arapahoe County,32067402,138266
Archer County,316429,1454
Archuleta County,394685,1111
Arenac County,841733,2055
Arlington County,11220078,58256
Armstrong County,3931806,6578
Aroostook County,1440886,4093
Arthur County,25431,0
Ascension Parish,1246219,6704
Ashe County,1195232,4608
Ashland County,2599422,10097
Ashtabula County,4251916,16674
Asotin County,993660,3914
Assumption Parish,346066,1065
Atascosa County,1755962,14189
Atchison County,319801,1346
Athens County,2721595,9721
Atkinson County,368209,2886
Atlantic County,15188760,162801
Atoka County,767730,9836
Attala County,774682,6499
Audrain County,1435058,11170
Audubon County,155887,565
Auglaize County,1696552,9346
Augusta County,3085897,10421
Aurora County,102260,681
Austin County,959729,4781
Autauga County,2691390,15467
Avery County,723160,2526
Avoyelles Parish,705533,7520
Baca County,146121,431
Bacon County,528827,4055
Bailey County,246009,1417
Baker County,1617709,11033
Baldwin County,11792424,82110
Ballard County,406911,4124
Baltimore County,48500064,227455
Baltimore city,43871271,803508
Bamberg County,940757,9357
Bandera County,626196,2735
Banks County,817177,4704
Banner County,15945,0
Baraga County,445029,735
Barbour County,2306620,16121
Barnes County,548507,1123
Barnstable County,3127741,6126
Barnwell County,1265423,10978
Barren County,2231896,10602
Barron County,2078106,5438
Barrow County,2997467,18192
Barry County,4826408,22601
Bartholomew County,2076423,12544
Barton County,608174,3935
Bartow County,4875332,41747
Bastrop County,2756243,14998
Bates County,853087,4776
Bath County,722972,2863
Bay County,14969891,161504
Bayfield County,716807,1448
Baylor County,144096,1509
Beadle County,771011,4838
Beaufort County,9591466,52137
Beauregard Parish,596007,3658
Beaver County,11532250,26993
Becker County,1379967,4704
Beckham County,1119703,10677
Bedford County,8058808,35005
Bee County,1463002,14522
Belknap County,2634156,7512
Bell County,15367834,127496
Belmont County,2811549,7926
Beltrami County,2073174,5577
Ben Hill County,1028499,18037
Bennett County,119049,883
Benson County,173415,193
Bent County,279314,1813
Benton County,17589832,52937
Benzie County,706070,1991
Bergen County,56465978,102797
Berkeley County,13301055,44886
Berks County,22963562,111045
Berkshire County,2044635,7346
Berrien County,10901859,104604
Bertie County,868682,6604
Bexar County,85868031,640404
Bibb County,10967502,103885
Bienville Parish,208333,1089
Big Horn County,178127,414
Big Stone County,136772,187
Billings County,35880,0
Black Hawk County,4378270,39532
Blackford County,277720,1768
Bladen County,1438948,8091
Blaine County,591990,4153
Blair County,7098276,23616
Blanco County,288683,1003
Bland County,332596,974
Bleckley County,735796,6948
Bledsoe County,572684,1896
Blount County,9738099,35314
Blue Earth County,2896845,3813
Bolivar County,1921140,15287
Bollinger County,585969,2253
Bon Homme County,276351,479
Bond County,762724,2512
Boone County,20409430,112604
Borden County,11389,26
Bosque County,718055,5702
Bossier Parish,1765995,12331
Botetourt County,1499473,7696
Bottineau County,201741,306
Boulder County,18241436,40219
Bourbon County,1044296,4807
Bowie County,4370686,45697
Bowman County,82407,12
Box Butte County,663833,2627
Box Elder County,1969993,4682
Boyd County,2966409,13172
Boyle County,1622538,8715
Bracken County,462234,2256
Bradford County,4659976,25621
Bradley County,5686808,27884
Branch County,2582796,12727
Brantley County,808982,3453
Braxton County,669647,2300
Brazoria County,13799117,80457
Brazos County,9296715,57401
Breathitt County,851515,3684
Breckinridge County,1089747,6787
Bremer County,649846,968
Brevard County,24022497,159529
Brewster County,375954,1347
Briscoe County,24236,148
Bristol County,8903064,22197
Bristol city,832383,9631
Brooke County,1191257,2002
Brookings County,1605982,4903
Brooks County,984550,7206
Broome County,10808202,51200
Broomfield County,1320113,1555
Broward County,80351290,577036
Brown County,20776665,101627
Brule County,199011,585
Brunswick County,4531420,23824
Bryan County,3256838,24886
Buchanan County,7062733,58687
Buckingham County,790153,2990
Bucks County,37012696,66391
Buena Vista County,537200,1281
Buena Vista city,279987,1297
Buffalo County,3242558,9254
Bullitt County,3692069,11068
Bulloch County,3871289,32834
Bullock County,544194,5382
Buncombe County,9840581,65727
Bureau County,1685344,6398
Burke County,5866173,33254
Burleigh County,4118081,19800
Burleson County,704997,8864
Burlington County,26498706,52378
Burnet County,1420138,8584
Burnett County,721124,2070
Burt County,245303,481
Butler County,31024286,114587
Butte County,12664527,86826
Butts County,1189222,10272
Cabarrus County,6806832,40597
Cabell County,4502631,16074
Cache County,5148081,12265
Caddo County,1599746,13129
Caddo Parish,4442681,46282
Calaveras County,2169856,7094
Calcasieu Parish,3157613,21791
Caldwell County,6470196,38529
Caldwell Parish,132360,839
Calhoun County,20188127,156146
Callahan County,534931,2705
Callaway County,2369143,16844
Calloway County,2089889,8709
Calumet County,2351318,5589
Calvert County,4435067,16802
Cambria County,9253491,18749
Camden County,36225688,284959
Cameron County,15282777,88277
Cameron Parish,134614,610
Camp County,500089,4965
Campbell County,11179121,66322
Canadian County,5450216,18893
Candler County,487937,6918
Cannon County,651473,4009
Cape Girardeau County,4329260,30293
Cape May County,5575033,32435
Carbon County,4495372,13839
Carlisle County,234477,1891
Carlton County,1570780,2711
Caroline County,2733883,18089
Carroll County,23167098,95332
Carson City,1768784,12308
Carson County,258978,3224
Carter County,7884470,53425
Carteret County,2605400,12187
Carver County,3015564,1898
Casey County,824236,4768
Cass County,21067025,82193
Castro County,383891,2983
Caswell County,991019,5077
Catahoula Parish,166877,1278
Catawba County,6819598,30225
Catoosa County,3230231,18912
Cattaraugus County,3923633,11195
Cavalier County,58536,102
Cayuga County,4310883,18813
Cecil County,5462339,21706
Cedar County,1464185,5097
Centre County,8661053,14354
Cerro Gordo County,1453408,5750
Chaffee County,786333,3025
Chambers County,3513781,33126
Champaign County,13179296,78054
Chariton County,417920,2835
Charles City County,267527,1336
Charles County,7796832,51707
Charles Mix County,329920,1727
Charleston County,21715720,152159
Charlevoix County,1298157,5674
Charlotte County,6203303,41275
Charlottesville city,2532152,23087
Charlton County,635388,4064
Chase County,105086,103
Chatham County,18177165,192711
Chattahoochee County,777085,1579
Chattooga County,1489323,15884
Chautauqua County,7015846,14643
Cheatham County,2069110,8633
Cheboygan County,1213315,6390
Chelan County,3588124,16199
Chemung County,4826986,25065
Chenango County,2280190,4881
Cherokee County,19899828,104477
Cherry County,160857,302
Chesapeake city,9940584,73689
Cheshire County,3406244,6891
Chester County,30056889,87564
Chesterfield County,16520013,75767
Cheyenne County,453646,1528
Chickasaw County,901988,3860
Childress County,292429,3332
Chilton County,2392536,13378
Chippewa County,5624055,12788
Chisago County,2060727,2696
Choctaw County,1782407,11375
Chowan County,583685,3260
Christian County,9246176,46812
Churchill County,735137,7261
Cimarron County,123215,767
Citrus County,4955905,34879
Clackamas County,20118285,51653
Claiborne County,1990946,9150
Claiborne Parish,274026,3044
Clallam County,3368930,10046
Clare County,1456802,4282
Clarendon County,1893666,17965
Clarion County,2322331,4812
Clark County,92866315,513029
Clarke County,10613146,57762
Clatsop County,1962442,8435
Clay County,29773150,140926
Clayton County,15675101,126033
Clear Creek County,490384,1886
Clearfield County,4566258,19439
Clearwater County,284590,800
Cleburne County,793291,4775
Clermont County,7816874,35701
Cleveland County,18213664,72686
Clinch County,349221,3288
Clinton County,16928484,61121
Coahoma County,1235121,14802
Coal County,293724,3151
Cobb County,39568478,185961
Cochise County,3849984,26953
Cochran County,130384,770
Cocke County,2045007,14374
Coconino County,4403019,26942
Codington County,1369644,7106
Coffee County,8001257,56307
Coke County,117013,732
Colbert County,3424495,19298
Cole County,4368285,28082
Coleman County,405154,3300
Coles County,3296775,15036
Colfax County,443704,1198
Colleton County,2273867,17361
Collier County,12229521,56577
Collin County,26765049,80056
Collingsworth County,157623,2165
Colonial Heights city,824229,8733
