county_name,population,prison_population
Abbeville,1505784,10557
Acadia Parish,1010534,6930
Accomack,1715198,13130
Adair,3809146,13552
Adams,38347754,196608
Aiken,9051661,57776
Aitkin,625595,1904
Alachua,12079290,90540
Alamance,6757533,48174
Alameda,92174081,389794
Alamosa,870638,5020
Albany,17272339,117255
Albemarle,4067159,14840
Alcona,516824,2082
Alcorn,1735112,9113
Alexander,1831164,8983
Alexandria city,7741751,37553
Alfalfa,296052,1308
Alger,556523,1394
Allamakee,390769,531
Allegan,6097452,25444
Allegany,6766911,17613
Alleghany,1112698,6059
Allegheny,80418854,339708
Allen,15386444,100313
Allen Parish,386218,1735
Allendale,512915,4422
Alpena,1766833,5462
Alpine,24259,16
Amador,1886795,11042
Amelia,475762,2872
Amherst,1667822,8623
Amite,423285,2492
Anderson,19034956,127647
Andrew,780242,2521
Andrews,620213,6429
Androscoggin,2567761,6723
Angelina,3842212,45127
Anne Arundel,32175724,87422
Anoka,16291575,22548
Anson,1120720,8853
Antelope,300545,712
Antrim,1064728,6136
Apache,2095628,5546
Appanoose,325955,1128
Appling,874180,5963
Appomattox,632966,2904
Aransas,1035404,12808
Arapahoe,32067402,138266
Archer,316429,1454
Archuleta,394685,1111
Arenac,841733,2055
Arlington,11220078,58256
Armstrong,3931806,6578
Aroostook,1440886,4093
Arthur,25431,0
Ascension Parish,1246219,6704
Ashe,1195232,4608
Ashland,2599422,10097
Ashtabula,4251916,16674
Asotin,993660,3914
Assumption Parish,346066,1065
Atascosa,1755962,14189
Atchison,319801,1346
Athens,2721595,9721
Atkinson,368209,2886
Atlantic,15188760,162801
Atoka,767730,9836
Attala,774682,6499
Audrain,1435058,11170
Audubon,155887,565
Auglaize,1696552,9346
Augusta,3085897,10421
Aurora,102260,681
Austin,959729,4781
Autauga,2691390,15467
Avery,723160,2526
Avoyelles Parish,705533,7520
Baca,146121,431
Bacon,528827,4055
Bailey,246009,1417
Baker,1617709,11033
Baldwin,11792424,82110
Ballard,406911,4124
Baltimore,48500064,227455
Baltimore city,43871271,803508
Bamberg,940757,9357
Bandera,626196,2735
Banks,817177,4704
Banner,15945,0
Baraga,445029,735
Barbour,2306620,16121
Barnes,548507,1123
Barnstable,3127741,6126
Barnwell,1265423,10978
Barren,2231896,10602
Barron,2078106,5438
Barrow,2997467,18192
Barry,4826408,22601
Bartholomew,2076423,12544
Barton,608174,3935
Bartow,4875332,41747
Bastrop,2756243,14998
Bates,853087,4776
Bath,722972,2863
Bay,14969891,161504
Bayfield,716807,1448
Baylor,144096,1509
Beadle,771011,4838
Beaufort,9591466,52137
Beauregard Parish,596007,3658
Beaver,11532250,26993
Becker,1379967,4704
Beckham,1119703,10677
Bedford,8058808,35005
Bee,1463002,14522
Belknap,2634156,7512
Bell,15367834,127496
Belmont,2811549,7926
Beltrami,2073174,5577
Ben Hill,1028499,18037
Bennett,119049,883
Benson,173415,193
Bent,279314,1813
Benton,17589832,52937
Benzie,706070,1991
Bergen,56465978,102797
Berkeley,13301055,44886
Berks,22963562,111045
Berkshire,2044635,7346
Berrien,10901859,104604
Bertie,868682,6604
Bexar,85868031,640404
Bibb,10967502,103885
Bienville Parish,208333,1089
Big Horn,178127,414
Big Stone,136772,187
Billings,35880,0
Black Hawk,4378270,39532
Blackford,277720,1768
Bladen,1438948,8091
Blaine,591990,4153
Blair,7098276,23616
Blanco,288683,1003
Bland,332596,974
Bleckley,735796,6948
Bledsoe,572684,1896
Blount,9738099,35314
Blue Earth,2896845,3813
Bolivar,1921140,15287
Bollinger,585969,2253
Bon Homme,276351,479
Bond,762724,2512
Boone,20409430,112604
Borden,11389,26
Bosque,718055,5702
Bossier Parish,1765995,12331
Botetourt,1499473,7696
Bottineau,201741,306
Boulder,18241436,40219
Bourbon,1044296,4807
Bowie,4370686,45697
Bowman,82407,12
Box Butte,663833,2627
Box Elder,1969993,4682
Boyd,2966409,13172
Boyle,1622538,8715
Bracken,462234,2256
Bradford,4659976,25621
Bradley,5686808,27884
Branch,2582796,12727
Brantley,808982,3453
Braxton,669647,2300
Brazoria,13799117,80457
Brazos,9296715,57401
Breathitt,851515,3684
Breckinridge,1089747,6787
Bremer,649846,968
Brevard,24022497,159529
Brewster,375954,1347
Briscoe,24236,148
Bristol,8903064,22197
Bristol city,832383,9631
Brooke,1191257,2002
Brookings,1605982,4903
Brooks,984550,7206
Broome,10808202,51200
Broomfield,1320113,1555
Broward,80351290,577036
Brown,20776665,101627
Brule,199011,585
Brunswick,4531420,23824
Bryan,3256838,24886
Buchanan,7062733,58687
Buckingham,790153,2990
Bucks,37012696,66391
Buena Vista,537200,1281
Buena Vista city,279987,1297
Buffalo,3242558,9254
Bullitt,3692069,11068
Bulloch,3871289,32834
Bullock,544194,5382
Buncombe,9840581,65727
Bureau,1685344,6398
Burke,5866173,33254
Burleigh,4118081,19800
Burleson,704997,8864
Burlington,26498706,52378
Burnet,1420138,8584
Burnett,721124,2070
Burt,245303,481
Butler,31024286,114587
Butte,12664527,86826
Butts,1189222,10272
Cabarrus,6806832,40597
Cabell,4502631,16074
Cache,5148081,12265
Caddo,1599746,13129
Caddo Parish,4442681,46282
Calaveras,2169856,7094
Calcasieu Parish,3157613,21791
Caldwell,6470196,38529
Caldwell Parish,132360,839
Calhoun,20188127,156146
Callahan,534931,2705
Callaway,2369143,16844
Calloway,2089889,8709
Calumet,2351318,5589
Calvert,4435067,16802
Cambria,9253491,18749
Camden,36225688,284959
Cameron,15282777,88277
Cameron Parish,134614,610
Camp,500089,4965
Campbell,11179121,66322
Canadian,5450216,18893
Candler,487937,6918
Cannon,651473,4009
Cape Girardeau,4329260,30293
Cape May,5575033,32435
Carbon,4495372,13839
Carlisle,234477,1891
Carlton,1570780,2711
Caroline,2733883,18089
Carroll,23167098,95332
Carson,258978,3224
Carson City,1768784,12308
Carter,7884470,53425
Carteret,2605400,12187
