,year,county_name,black_prison_adm,white_prison_adm,total_prison_adm
25,1995,Autauga,46.0,19.0,65
26,1996,Autauga,34.0,20.0,54
27,1997,Autauga,45.0,31.0,76
28,1998,Autauga,57.0,40.0,98
29,1999,Autauga,52.0,46.0,98
30,2000,Autauga,46.0,37.0,83
31,2001,Autauga,51.0,45.0,96
32,2002,Autauga,40.0,37.0,77
33,2003,Autauga,47.0,41.0,88
34,2004,Autauga,59.0,51.0,110
35,2005,Autauga,50.0,40.0,90
36,2006,Autauga,96.0,75.0,171
37,2007,Autauga,55.0,46.0,102
38,2008,Autauga,59.0,58.0,117
39,2009,Autauga,40.0,58.0,98
40,2010,Autauga,40.0,37.0,77
41,2011,Autauga,43.0,43.0,86
42,2012,Autauga,41.0,61.0,103
43,2013,Autauga,46.0,55.0,102
44,2014,Autauga,49.0,48.0,97
45,2015,Autauga,63.0,81.0,145
72,1995,Baldwin,80.0,105.0,187
73,1996,Baldwin,104.0,124.0,228
74,1997,Baldwin,125.0,149.0,274
75,1998,Baldwin,111.0,130.0,243
76,1999,Baldwin,102.0,145.0,247
77,2000,Baldwin,85.0,123.0,208
78,2001,Baldwin,93.0,150.0,246
79,2002,Baldwin,94.0,163.0,259
80,2003,Baldwin,104.0,159.0,264
81,2004,Baldwin,88.0,137.0,226
82,2005,Baldwin,147.0,189.0,336
83,2006,Baldwin,131.0,165.0,296
84,2007,Baldwin,117.0,187.0,305
85,2008,Baldwin,148.0,188.0,337
86,2009,Baldwin,128.0,189.0,318
87,2010,Baldwin,164.0,212.0,376
88,2011,Baldwin,119.0,205.0,324
89,2012,Baldwin,133.0,238.0,373
90,2013,Baldwin,120.0,202.0,326
91,2014,Baldwin,108.0,196.0,311
92,2015,Baldwin,111.0,234.0,348
119,1995,Barbour,70.0,24.0,94
120,1996,Barbour,60.0,7.0,67
121,1997,Barbour,59.0,26.0,86
122,1998,Barbour,42.0,18.0,60
123,1999,Barbour,56.0,12.0,68
124,2000,Barbour,33.0,12.0,45
125,2001,Barbour,51.0,18.0,70
126,2002,Barbour,54.0,16.0,70
127,2003,Barbour,61.0,25.0,86
128,2004,Barbour,69.0,23.0,92
129,2005,Barbour,66.0,20.0,86
130,2006,Barbour,104.0,28.0,132
131,2007,Barbour,57.0,18.0,75
132,2008,Barbour,69.0,14.0,83
133,2009,Barbour,57.0,18.0,75
134,2010,Barbour,39.0,10.0,49
135,2011,Barbour,42.0,10.0,52
136,2012,Barbour,48.0,6.0,54
137,2013,Barbour,20.0,7.0,27
138,2014,Barbour,21.0,10.0,31
139,2015,Barbour,27.0,14.0,41
166,1995,Bibb,10.0,8.0,18
167,1996,Bibb,5.0,,8
168,1997,Bibb,6.0,5.0,11
169,1998,Bibb,11.0,0.0,11
170,1999,Bibb,6.0,,9
171,2000,Bibb,6.0,12.0,18
172,2001,Bibb,6.0,6.0,12
173,2002,Bibb,11.0,10.0,21
174,2003,Bibb,8.0,4.0,12
175,2004,Bibb,5.0,8.0,13
176,2005,Bibb,11.0,15.0,26
177,2006,Bibb,7.0,25.0,32
178,2007,Bibb,11.0,16.0,27
179,2008,Bibb,15.0,26.0,41
180,2009,Bibb,13.0,28.0,41
181,2010,Bibb,8.0,15.0,23
182,2011,Bibb,,14.0,16
183,2012,Bibb,,9.0,12
184,2013,Bibb,5.0,18.0,23
